"measuredItemCPC","description","feedClassification"
"26720","Other woven fabrics of man-made filament yarn, containing 85% or more by weight of such filaments","not for feed"
"26730","Other woven fabrics of man-made filament yarn","not for feed"
"26740","Woven fabrics of synthetic staple fibres, containing 85% or more by weight of synthetic staple fibres","not for feed"
"26750","Woven fabrics of artificial staple fibres, containing 85% or more by weight of artificial staple fibres","not for feed"
"26760","Woven fabrics of man-made staple fibres, containing less than 85% of such fibres, mixed mainly or solely with cotton","not for feed"
"26770","Woven fabrics of man-made staple fibres, containing less than 85% of such fibres, mixed mainly or solely with wool or fine animal hair","not for feed"
"26790","Other woven fabrics of man-made staple fibres","not for feed"
"2681","Woven pile fabrics and chenille fabrics (other than terry towelling and narrow fabrics) of cotton","not for feed"
"2682","Woven pile fabrics and chenille fabrics (other than terry towelling and narrow fabrics) of man-made fibres","not for feed"
"2683","Other woven pile fabrics and chenille fabrics (other than terry towelling and narrow fabrics)","not for feed"
"2684","Terry towelling and similar woven terry fabrics (other than narrow fabrics) of cotton","not for feed"
"2685","Other terry towelling and similar woven terry fabrics (other than narrow fabrics)","not for feed"
"2686","Gauze (other than narrow fabrics)","not for feed"
"2688","Tufted textile fabrics, other than carpets","not for feed"
"2689","Woven fabrics (including narrow fabrics) of glass fibres","not for feed"
"26810","Woven pile fabrics and chenille fabrics (other than terry towelling and narrow fabrics) of cotton","not for feed"
"26820","Woven pile fabrics and chenille fabrics (other than terry towelling and narrow fabrics) of man-made fibres","not for feed"
"26830","Other woven pile fabrics and chenille fabrics (other than terry towelling and narrow fabrics)","not for feed"
"26840","Terry towelling and similar woven terry fabrics (other than narrow fabrics) of cotton","not for feed"
"26850","Other terry towelling and similar woven terry fabrics (other than narrow fabrics)","not for feed"
"26860","Gauze (other than narrow fabrics)","not for feed"
"26880","Tufted textile fabrics, other than carpets","not for feed"
"26890","Woven fabrics (including narrow fabrics) of glass fibres","not for feed"
"271","Made-up textile articles","not for feed"
"272","Carpets and other textile floor coverings","not for feed"
"273","Twine, cordage, ropes and cables and articles thereof (including netting)","not for feed"
"279","Textiles n.e.","not for feed"
"2711","Blankets and travelling rugs (except electric blankets)","not for feed"
"2712","Bed linen, table linen, toilet linen and kitchen linen","not for feed"
"2713","Curtains (including drapes) and interior blinds; curtain or bed valances","not for feed"
"2714","Other furnishing articles n.e.; sets of woven fabric and yarn for making up into rugs, tapestries, embroidered table cloths or serviettes, or similar textile articles, put up in packings for retail sale","not for feed"
"2715","Sacks and bags, of a kind used for the packing of goods","not for feed"
"2716","Tarpaulins, sails for boats et, awnings, sunblinds, tents and camping goods (including pneumatic mattresses)","not for feed"
"2717","Parachutes","not for feed"
"2718","Quilts, eiderdowns, cushions, pouffes, pillows, sleeping bags and the like, fitted with springs or stuffed or internally fitted with any material or of cellular rubber or plastics","not for feed"
"2719","Other made-up textile articles (including floor-cloths, dish-cloths, dusters and similar cleaning cloths, life-jackets and life-belts)","not for feed"
"27110","Blankets and travelling rugs (except electric blankets)","not for feed"
"27120","Bed linen, table linen, toilet linen and kitchen linen","not for feed"
"27130","Curtains (including drapes) and interior blinds; curtain or bed valances","not for feed"
"27140","Other furnishing articles n.e.; sets of woven fabric and yarn for making up into rugs, tapestries, embroidered table cloths or serviettes, or similar textile articles, put up in packings for retail sale","not for feed"
"27150","Sacks and bags, of a kind used for the packing of goods","not for feed"
"27160","Tarpaulins, sails for boats et, awnings, sunblinds, tents and camping goods (including pneumatic mattresses)","not for feed"
"27170","Parachutes","not for feed"
"27180","Quilts, eiderdowns, cushions, pouffes, pillows, sleeping bags and the like, fitted with springs or stuffed or internally fitted with any material or of cellular rubber or plastics","not for feed"
"27190","Other made-up textile articles (including floor-cloths, dish-cloths, dusters and similar cleaning cloths, life-jackets and life-belts)","not for feed"
"2721","Carpets and other textile floor coverings, knotted","not for feed"
"2722","Carpets and other textile floor coverings, woven, not tufted or flocked","not for feed"
"2723","Carpets and other textile floor coverings, tufted","not for feed"
"2729","Other carpets and textile floor coverings (including those of felt)","not for feed"
"27210","Carpets and other textile floor coverings, knotted","not for feed"
"27220","Carpets and other textile floor coverings, woven, not tufted or flocked","not for feed"
"27230","Carpets and other textile floor coverings, tufted","not for feed"
"27290","Other carpets and textile floor coverings (including those of felt)","not for feed"
"2731","Twine, cordage, rope and cables","not for feed"
"2732","Knotted netting of twine, cordage or rope; made up nets of textile materials; articles of yarn, strip, twine, cordage, rope or cables n.e.","not for feed"
"27310","Twine, cordage, rope and cables","not for feed"
"27320","Knotted netting of twine, cordage or rope; made up nets of textile materials; articles of yarn, strip, twine, cordage, rope or cables n.e.","not for feed"
"2791","Tulles, lace, narrow woven fabrics, trimmings and embroidery","not for feed"
"2792","Felt and nonwovens","not for feed"
"2799","Other textile articles","not for feed"
"27911","Narrow woven fabrics; narrow fabrics of warp without weft assembled by adhesive (bolducs); labels, badges and similar articles of textile materials, not embroidered; braids in the piece; ornamental trimmings in the piece, without embroidery, other than knitted or crocheted; tassels, pompons and similar articles","not for feed"
"27912","Tulles and other net fabrics, except woven, knitted or crocheted fabrics; lace in the piece, in strips or in motifs","not for feed"
"27913","Embroidery in the piece, in strips or in motifs","not for feed"
"27921","Felt","not for feed"
"27922","Nonwovens","not for feed"
"27991","Wadding of textile materials and articles thereof; textile fibres not exceeding 5 mm in length (flock), textile dust and mill neps","not for feed"
"27992","Rubber thread and cord, textile covered; textile yarn and strip, impregnated or covered with rubber or plastics","not for feed"
"27993","Metallized yarn","not for feed"
"27994","Woven fabrics of metal thread or metallized yarn n.e.","not for feed"
"27995","Gimped yarn and strip; chenille yarn; loop wale-yarn","not for feed"
"27996","Tyre cord fabric of high tenacity yarn of nylon or other polyamides, polyesters or viscose rayon","not for feed"
"27997","Textile fabrics, impregnated, coated or covered n.e.","not for feed"
"27998","Textile products and articles for technical uses (including wicks, gas mantles, hosepiping, transmission or conveyor belts, bolting cloth and straining cloth)","not for feed"
"27999","Quilted textile products in the piece n.e.","not for feed"
"281","Knitted or crocheted fabrics","not for feed"
"282","Wearing apparel, except fur apparel","not for feed"
"283","Tanned or dressed furskins and artificial fur; articles thereof (except headgear)","not for feed"
"2811","Pile fabrics and terry fabrics, knitted or crocheted","not for feed"
"2819","Other knitted or crocheted fabrics","not for feed"
"28110","Pile fabrics and terry fabrics, knitted or crocheted","not for feed"
"28190","Other knitted or crocheted fabrics","not for feed"
"2821","Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted","not for feed"
"2822","Wearing apparel, knitted or crocheted","not for feed"
"2823","Wearing apparel, of textile fabric, not knitted or crocheted; brassieres, corsets, suspenders and similar articles, whether or not knitted or crocheted","not for feed"
"2824","Apparel and clothing accessories, of leather, composition leather or plastics","not for feed"
"2825","Garments made up of felt or nonwovens; garments made up of textile fabrics impregnated or coated with plastics, rubber or other materials","not for feed"
"2826","Hats and headgear","not for feed"
"28210","Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted","not for feed"
"28221","Men's or boys' suits, coats, jackets, trousers, shorts and the like, knitted or crocheted","not for feed"
"28222","Men's or boys' shirts, underpants, pyjamas, dressing gowns and similar articles, knitted or crocheted","not for feed"
"28223","Women's or girls' suits, coats, jackets, dresses, skirts, trousers, shorts and the like, knitted or crocheted","not for feed"
"28224","Women's or girls' blouses, shirts, petticoats, panties, nightdresses, dressing gowns and similar articles, knitted or crocheted","not for feed"
"28225","T-shirts, singlets and other vests, knitted or crocheted","not for feed"
"28226","Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted","not for feed"
"28227","Babies' garments and clothing accessories, knitted or crocheted","not for feed"
"28228","Track suits, ski suits, swimwear and other garments, knitted or crocheted n.e.","not for feed"
"28229","Gloves, shawls, scarves, veils, ties, cravats and other made-up clothing accessories, knitted or crocheted; knitted or crocheted parts of garments or of clothing accessories","not for feed"
"28231","Men's or boys' suits, coats, jackets, trousers, shorts and the like, of textile fabric, not knitted or crocheted","not for feed"
"28232","Men's or boys' shirts, singlets, underpants, pyjamas, dressing gowns and similar articles, of textile fabric, not knitted or crocheted","not for feed"
"28233","Women's or girls' suits, coats, jackets, dresses, skirts, trousers, shorts and the like, of textile fabric, not knitted or crocheted","not for feed"
"28234","Women's or girls' blouses, shirts, singlets, petticoats, panties, nightdresses, dressing gowns and similar articles, of textile fabric, not knitted or crocheted","not for feed"
"28235","Babies' garments and clothing accessories, of textile fabric, not knitted or crocheted","not for feed"
"28236","Track suits, ski suits, swimwear and other garments, of textile fabric, not knitted or crocheted n.e.","not for feed"
"28237","Brassieres, girdles, corsets, braces, suspenders, garters and similar articles and parts thereof, whether or not knitted or crocheted","not for feed"
"28238","Handkerchiefs, shawls, scarves, veils, ties, cravats, gloves and other made-up clothing accessories, of textile fabric, not knitted or crocheted; parts of garments or of clothing accessories, of textile fabric, not knitted or crocheted n.e.","not for feed"
"28241","Apparel of leather or of composition leather","not for feed"
"28242","Clothing accessories of leather or of composition leather, except sports gloves","not for feed"
"28243","Apparel and clothing accessories of plastics (incl. gloves)","not for feed"
"28250","Garments made up of felt or nonwovens; garments made up of textile fabrics impregnated or coated with plastics, rubber or other materials","not for feed"
"28261","Hat-forms, hat bodies and hoods of felt; plateaux and manchons of felt; hat-shapes, plaited or made by assembling strips of any material","not for feed"
"28262","Hats and other headgear, of felt, or plaited or made by assembling strips of any material, or knitted or crocheted or made up from lace or other textile fabric in the piece; hair-nets","not for feed"
"28269","Other headgear except headgear of rubber or of plastics, safety headgear and asbestos headgear; head-bands, linings, covers, hat foundations, hat frames, peaks and chinstraps, for headgear","not for feed"
"2831","Tanned or dressed furskins","not for feed"
"2832","Articles of apparel, clothing accessories and other articles of furskin (except headgear)","not for feed"
"2833","Artificial fur and articles thereof (except headgear)","not for feed"
"28310","Tanned or dressed furskins","not for feed"
"28320","Articles of apparel, clothing accessories and other articles of furskin (except headgear)","not for feed"
"28330","Artificial fur and articles thereof (except headgear)","not for feed"
"291","Tanned or dressed leather; composition leather","not for feed"
"292","Luggage, handbags and the like; saddlery and harness; other articles of leather","not for feed"
"293","Footwear, with outer soles and uppers of rubber or plastics, or with uppers of leather or textile materials, other than sports footwear, footwear incorporating a protective metal toe- cap and miscellaneous special footwear","not for feed"
"294","Sports footwear, except skating boots","not for feed"
"295","Other footwear, except asbestos footwear, orthopaedic footwear and skating boots","not for feed"
"296","Parts of footwear; removable insoles, heel cushions and similar articles; gaiters, leggings and similar articles, and parts thereof","not for feed"
"2911","Chamois leather; patent leather and patent laminated leather; metallized leather","not for feed"
"2912","Other leather, of bovine or equine animals, without hair on","not for feed"
"2913","Other leather, without hair on (including sheep, lamb, goat or kid skin leather); composition leather with a basis of leather or leather fibre","not for feed"
"29110","Chamois leather; patent leather and patent laminated leather; metallized leather","not for feed"
"29120","Other leather, of bovine or equine animals, without hair on","not for feed"
"29130","Other leather, without hair on (including sheep, lamb, goat or kid skin leather); composition leather with a basis of leather or leather fibre","not for feed"
"2921","Saddlery and harness, for any animal, of any material","not for feed"
"2922","Luggage, handbags and the like, of leather, composition leather, plastic sheeting, textile materials, vulcanized fibre or paperboard; travel sets for personal toilet, sewing or shoe or clothes cleaning","not for feed"
"2923","Watch straps, except of metal","not for feed"
"2929","Other articles of leather or composition leather (including articles of a kind used in machinery or mechanical appliances or for other technical uses) n.e.","not for feed"
"29210","Saddlery and harness, for any animal, of any material","not for feed"
"29220","Luggage, handbags and the like, of leather, composition leather, plastic sheeting, textile materials, vulcanized fibre or paperboard; travel sets for personal toilet, sewing or shoe or clothes cleaning","not for feed"
"29230","Watch straps, except of metal","not for feed"
"29290","Other articles of leather or composition leather (including articles of a kind used in machinery or mechanical appliances or for other technical uses) n.e.","not for feed"
"2931","Waterproof footwear, with outer soles and uppers of rubber or plastics, other than footwear incorporating a protective metal toe-cap","not for feed"
"2932","Footwear with outer soles and uppers of rubber or plastics, other than waterproof footwear or sports footwear","not for feed"
"2933","Footwear with uppers of leather, other than sports footwear, footwear incorporating a protective metal toe-cap and miscellaneous special footwear","not for feed"
"2934","Footwear with uppers of textile materials, other than sports footwear","not for feed"
"29310","Waterproof footwear, with outer soles and uppers of rubber or plastics, other than footwear incorporating a protective metal toe-cap","not for feed"
"29320","Footwear with outer soles and uppers of rubber or plastics, other than waterproof footwear or sports footwear","not for feed"
"29330","Footwear with uppers of leather, other than sports footwear, footwear incorporating a protective metal toe-cap and miscellaneous special footwear","not for feed"
"29340","Footwear with uppers of textile materials, other than sports footwear","not for feed"
"2941","Ski-boots, snowboard boots and cross-country ski footwear","not for feed"
"2942","Tennis shoes, basketball shoes, gym shoes, training shoes and the like","not for feed"
"2949","Other sports footwear, except skating boots","not for feed"
"29410","Ski-boots, snowboard boots and cross-country ski footwear","not for feed"
"29420","Tennis shoes, basketball shoes, gym shoes, training shoes and the like","not for feed"
"29490","Other sports footwear, except skating boots","not for feed"
"2951","Footwear incorporating a protective metal toe-cap, except those covered in subclass 29320","not for feed"
"2952","Wooden footwear, miscellaneous special footwear and other footwear n.e.","not for feed"
"29510","Footwear incorporating a protective metal toe-cap, except those covered in subclass 29320","not for feed"
"29520","Wooden footwear, miscellaneous special footwear and other footwear n.e.","not for feed"
"2960","Parts of footwear; removable insoles, heel cushions and similar articles; gaiters, leggings and similar articles, and parts thereof","not for feed"
"29600","Parts of footwear; removable insoles, heel cushions and similar articles; gaiters, leggings and similar articles, and parts thereof","not for feed"
"31","Products of wood, cork, straw and plaiting materials","not for feed"
"32","Pulp, paper and paper products; printed matter and related articles","not for feed"
"33","Coke oven products; refined petroleum products; nuclear fuel","not for feed"
"34","Basic chemicals","not for feed"
"35","Other chemical products; man-made fibres/n","not for feed"
"36","Rubber and plastics products","not for feed"
"37","Glass and glass products and other non-metallic products n.e.","not for feed"
"38","Furniture; other transportable goods n.e.","not for feed"
"39","Wastes or scraps","not for feed"
"311","Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm; railway or tramway sleepers (cross-ties) of wood, not impregnated","not for feed"
"312","Wood continuously shaped along any of its edges or faces; wood wool; wood flour; wood in chips or particles","not for feed"
"313","Wood in the rough, including those treated with paint, stains, creosote or other preservatives; railway or tramway sleepers (cross-ties) of wood, impregnated","not for feed"
"314","Boards and panels","not for feed"
"315","Veneer sheets; sheets for plywood; densified wood","not for feed"
"316","Builders' joinery and carpentry of wood (including cellular wood panels, assembled parquet panels, shingles and shakes)","not for feed"
"317","Packing cases, boxes, crates, drums and similar packings, of wood; cable-drums of wood; pallets, box pallets and other load boards, of wood; casks, barrels, vats, tubs and other coopers' products and parts thereof, of wood (including staves)","not for feed"
"319","Other products of wood; articles of cork, plaiting materials and straw","not for feed"
"3110","Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm; railway or tramway sleepers (cross-ties) of wood, not impregnated","not for feed"
"31100","Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm; railway or tramway sleepers (cross-ties) of wood, not impregnated","not for feed"
"31101","Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm, of coniferous wood ","not for feed"
"31102","Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm, of non-coniferous wood ","not for feed"
"31109","Railway or tramway sleepers (cross-ties) of wood, not impregnated","not for feed"
"3121","Wood, continuously shaped along any of its edges or faces (including strips and friezes for parquet flooring, not assembled, and beadings and mouldings)","not for feed"
"3122","Wood wool; wood flour","not for feed"
"3123","Wood in chips or particles","not for feed"
"31210","Wood, continuously shaped along any of its edges or faces (including strips and friezes for parquet flooring, not assembled, and beadings and mouldings)","not for feed"
"31211","Wood, continuously shaped along any of its edges or faces (including strips and friezes for parquet flooring, not assembled, and beadings and mouldings) of coniferous wood","not for feed"
"31212","Wood, continuously shaped along any of its edges or faces (including strips and friezes for parquet flooring, not assembled, and beadings and mouldings) of bamboo","not for feed"
"31219","Wood, continuously shaped along any of its edges or faces (including strips and friezes for parquet flooring, not assembled, and beadings and mouldings) of other wood","not for feed"
"31220","Wood wool; wood flour","not for feed"
"31230","Wood in chips or particles","not for feed"
"3131","Wood in the rough, treated with paint, stains, creosote or other preservatives","not for feed"
"3132","Railway or tramway sleepers (cross-ties) of wood, impregnated","not for feed"
"3133","Other wood in the rough (including split poles and pickets)","not for feed"
"31310","Wood in the rough, treated with paint, stains, creosote or other preservatives","not for feed"
"31320","Railway or tramway sleepers (cross-ties) of wood, impregnated","not for feed"
"31330","Other wood in the rough (including split poles and pickets)","not for feed"
"3141","Plywood consisting solely of sheets of wood, except of bamboo","not for feed"
"3142","Other plywood, veneered panels and similar laminated wood, except of bamboo","not for feed"
"3143","Particle board and similar board of wood or other ligneous materials","not for feed"
"3144","Fibreboard of wood or other ligneous materials","not for feed"
"3145","Plywood, veneer panels and similar laminated wood of bamboo","not for feed"
"31410","Plywood consisting solely of sheets of wood, except of bamboo","not for feed"
"31411","Plywood consisting solely of sheets, of coniferous wood","not for feed"
"31412","Plywood consisting solely of sheets, of non-coniferous wood","not for feed"
"31420","Other plywood, veneered panels and similar laminated wood, except of bamboo","not for feed"
"31421","Other plywood, veneered panels and similar laminated wood, of coniferous wood","not for feed"
"31422","Other plywood, veneered panels and similar laminated wood, of non-coniferous wood","not for feed"
"31430","Particle board and similar board of wood or other ligneous materials","not for feed"
"31431","Particle board","not for feed"
"31432","Oriented strand board (OSB)","not for feed"
"31439","Other board of wood or other ligneous materials","not for feed"
"31440","Fibreboard of wood or other ligneous materials","not for feed"
"31441","Medium density fibreboard (MDF)","not for feed"
"31442","Hardboard","not for feed"
"31449","Other fibreboard","not for feed"
"31450","Plywood, veneer panels and similar laminated wood of bamboo","not for feed"
"3151","Veneer sheets and sheets for plywood and other wood sawn lengthwise, sliced or peeled, of a thickness not exceeding 6 mm","not for feed"
"3152","Densified wood","not for feed"
"31510","Veneer sheets and sheets for plywood and other wood sawn lengthwise, sliced or peeled, of a thickness not exceeding 6 mm","not for feed"
"31511","Veneer sheets and sheets for plywood and other wood sawn lengthwise, sliced or peeled, of a thickness not exceeding 6 mm, of coniferous wood","not for feed"
"31512","Veneer sheets and sheets for plywood and other wood sawn lengthwise, sliced or peeled, of a thickness not exceeding 6 mm, of non-coniferous wood","not for feed"
"31520","Densified wood","not for feed"
"3160","Builders' joinery and carpentry of wood (including cellular wood panels, assembled parquet panels, shingles and shakes)","not for feed"
"31600","Builders' joinery and carpentry of wood (including cellular wood panels, assembled parquet panels, shingles and shakes)","not for feed"
"3170","Packing cases, boxes, crates, drums and similar packings, of wood; cable-drums of wood; pallets, box pallets and other load boards, of wood; casks, barrels, vats, tubs and other coopers' products and parts thereof, of wood (including staves)","not for feed"
"31700","Packing cases, boxes, crates, drums and similar packings, of wood; cable-drums of wood; pallets, box pallets and other load boards, of wood; casks, barrels, vats, tubs and other coopers' products and parts thereof, of wood (including staves)","not for feed"
"3191","Other products of wood","not for feed"
"3192","Articles of cork and straw or other plaiting materials; basketware and wickerwork","not for feed"
"31911","Tools, tool bodies, tool handles, broom or brush bodies and handles, boot or shoe lasts and trees, of wood","not for feed"
"31912","Tableware and kitchenware, of wood","not for feed"
"31913","Wood marquetry and inlaid wood; cases for jewellery or cutlery, and similar articles, of wood; statuettes and other ornaments, of wood","not for feed"
"31914","Wooden frames for paintings, photographs, mirrors or similar objects, and other articles of wood","not for feed"
"31921","Natural cork, debacked or roughly squared, or in blocks, plates, sheets or strip; crushed, granulated or ground cork; waste cork","not for feed"
"31922","Articles of natural cork; agglomerated cork and articles thereof","not for feed"
"31923","Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork","not for feed"
"321","Pulp, paper and paperboard","not for feed"
"322","Books, in print","not for feed"
"323","Newspapers and periodicals, daily, in print","not for feed"
"324","Newspapers and periodicals, other than daily, in print","not for feed"
"325","Printed maps; music, printed or in manuscript; postcards, greeting cards, pictures and plans","not for feed"
"326","Stamps, cheque forms, banknotes, stock certificates, brochures and leaflets, advertising material and other printed matter","not for feed"
"327","Registers, account books, notebooks, letter pads, diaries and similar articles, blotting-pads, binders, file covers, forms and other articles of stationery, of paper or paperboard","not for feed"
"328","Composed type, prepared printing plates or cylinders, impressed lithographic stones or other impressed media for use in printing","not for feed"
"3211","Pulps of wood or other fibrous cellulosic material","not for feed"
"3212","Newsprint, hand-made paper and other uncoated paper and paperboard of a kind used for graphic purposes, and punch card stock and punch tape paper","not for feed"
"3213","Toilet tissue stock, uncoated kraftliner and other uncoated paper and paperboard; miscellaneous other papers","not for feed"
"3214","Processed paper and paperboard","not for feed"
"3215","Corrugated paper and paperboard and containers of paper and paperboard","not for feed"
"3219","Other paper and paperboard products","not for feed"
"32111","Chemical wood pulp, dissolving grades","not for feed"
"32112","Chemical wood pulp, other than dissolving grades","not for feed"
"32113","Mechanical wood pulp; semi-chemical wood pulp; pulps of fibrous cellulosic material other than wood","not for feed"
"32121","Newsprint","not for feed"
"32122","Hand-made paper and paperboard","not for feed"
"32129","Other uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, and punch card stock and punch tape paper","not for feed"
"32131","Toilet or facial tissue stock, towel or napkin stock and similar paper, cellulose wadding and webs of cellulose fibres","not for feed"
"32132","Kraftliner, uncoated","not for feed"
"32133","Other uncoated kraft paper and paperboard; sack kraft paper, creped or crinkled","not for feed"
"32134","Fluting paper, including straw and semi-chemical","not for feed"
"32135","Testliner (recycled liner board)","not for feed"
"32136","Sulphite wrapping paper, filter paper and paperboard, felt paper and other paper and paperboard; cigarette paper not cut to size or in the form of booklets or tubes","not for feed"
"32137","Vegetable parchment, greaseproof papers, tracing papers and glassine and other glazed transparent or translucent papers","not for feed"
"32141","Composite paper and paperboard, not surface-coated or impregnated","not for feed"
"32142","Paper and paperboard, creped, crinkled, embossed or perforated n.e.","not for feed"
"32143","Paper and paperboard coated with kaolin or with other inorganic substances","not for feed"
"32149","Other paper and paperboard, cellulose wadding and webs of cellulose fibres, coated, impregnated, gummed or adhesive, covered, surface-coloured, surface-decorated or printed, in rolls or sheets","not for feed"
"32151","Corrugated paper and paperboard","not for feed"
"32152","Sacks and bags of paper","not for feed"
"32153","Cartons, boxes, cases, record sleeves and other packing containers (except bags) of paper, paperboard, cellulose wadding or webs of cellulose fibres; box files, letter trays, and similar articles, of paper or paperboard of a kind used in offices, shops or the like","not for feed"
"32191","Carbon paper, self-copy paper and other copying or transfer papers, not in bulk sizes; duplicator stencils and offset plates, of paper","not for feed"
"32192","Envelopes, letter cards, plain postcards and correspondence cards of paper or paperboard; boxes, pouches, wallets and writing compendiums, of paper or paperboard, containing paper stationery","not for feed"
"32193","Toilet paper, handkerchiefs, towels, serviettes, napkins for babies, tampons, and similar household, sanitary or hospital articles, and articles of apparel, of paper pulp, paper, cellulose wadding or webs of cellulose fibres","not for feed"
"32194","Wallpaper and similar wall coverings; window transparencies of paper","not for feed"
"32195","Textile wall coverings","not for feed"
"32196","Sanitary towels (pads) and tampons, napkins and napkin liners for babies and similar articles, of any material","not for feed"
"32197","Labels of paper or paperboard","not for feed"
"32198","Filter blocks, slabs and plates, of paper pulp","not for feed"
"32199","Other paper, paperboard, cellulose wadding and webs of cellulose fibres, cut to size or shape; cigarette paper, in booklets or tubes, or in rolls of a width not exceeding 5 cm; other articles of paper pulp, paper, paperboard, cellulose wadding or webs of cellulose fibres","not for feed"
"3221","Educational textbooks, in print","not for feed"
"3222","General reference books, in print","not for feed"
"3223","Directories, in print","not for feed"
"3229","Other books, in print","not for feed"
"32210","Educational textbooks, in print","not for feed"
"32220","General reference books, in print","not for feed"
"32230","Directories, in print","not for feed"
"32291","Professional, technical and scholarly books, in print","not for feed"
"32292","Children's books, in print","not for feed"
"32299","Other books n.e., in print","not for feed"
"3230","Newspapers and periodicals, daily, in print","not for feed"
"32300","Newspapers and periodicals, daily, in print","not for feed"
"3241","General interest newspapers and periodicals, other than daily, in print","not for feed"
"3242","Business, professional or academic newspapers and periodicals, other than daily, in print","not for feed"
"3249","Other newspapers and periodicals, other than daily, in print","not for feed"
"32410","General interest newspapers and periodicals, other than daily, in print","not for feed"
"32420","Business, professional or academic newspapers and periodicals, other than daily, in print","not for feed"
"32490","Other newspapers and periodicals, other than daily, in print","not for feed"
"3251","Maps and hydrographic or similar charts (including wall maps, topographical plans and globes), printed, other than in book-form","not for feed"
"3252","Music, printed or in manuscript","not for feed"
"3253","Printed or illustrated postcards; printed cards bearing personal greetings or messages, with or without envelopes or trimmings","not for feed"
"3254","Printed pictures, designs and photographs","not for feed"
"3255","Plans and drawings for architectural, engineering, industrial, commercial, topographical or similar purposes, being originals drawn by hand; hand-written texts; photographic reproductions and carbon copies of the foregoing","not for feed"
"32511","Maps and hydrographic or similar charts (including wall maps, topographical plans and maps for globes), printed, other than in book-form","not for feed"
"32512","Globes","not for feed"
"32520","Music, printed or in manuscript","not for feed"
"32530","Printed or illustrated postcards; printed cards bearing personal greetings or messages, with or without envelopes or trimmings","not for feed"
"32540","Printed pictures, designs and photographs","not for feed"
"32550","Plans and drawings for architectural, engineering, industrial, commercial, topographical or similar purposes, being originals drawn by hand; hand-written texts; photographic reproductions and carbon copies of the foregoing","not for feed"
"3261","Unused postage, revenue or similar stamps; stamp-impressed paper; cheque forms; banknotes, stock, share or bond certificates and similar documents of title","not for feed"
"3262","Trade advertising material, commercial catalogues and the like","not for feed"
"3263","Transfers (decalcomanias) and printed calendars","not for feed"
"3269","Other printed matter","not for feed"
"32610","Unused postage, revenue or similar stamps; stamp-impressed paper; cheque forms; banknotes, stock, share or bond certificates and similar documents of title","not for feed"
"32620","Trade advertising material, commercial catalogues and the like","not for feed"
"32630","Transfers (decalcomanias) and printed calendars","not for feed"
"32690","Other printed matter","not for feed"
"3270","Registers, account books, notebooks, letter pads, diaries and similar articles, blotting-pads, binders, file covers, forms and other articles of stationery, of paper or paperboard","not for feed"
"32700","Registers, account books, notebooks, letter pads, diaries and similar articles, blotting-pads, binders, file covers, forms and other articles of stationery, of paper or paperboard","not for feed"
"3280","Composed type, prepared printing plates or cylinders, impressed lithographic stones or other impressed media for use in printing","not for feed"
"32800","Composed type, prepared printing plates or cylinders, impressed lithographic stones or other impressed media for use in printing","not for feed"
"331","Coke and semi-coke of coal, of lignite or of peat; retort carbon","not for feed"
"332","Tar distilled from coal, from lignite or from peat, and other mineral tars","not for feed"
"333","Petroleum oils and oils obtained from bituminous materials, other than crude; preparations n.e. containing by weight 70% or more of these oils, such oils being the basic constituents of the preparations","not for feed"
"334","Petroleum gases and other gaseous hydrocarbons, except natural gas","not for feed"
"335","Petroleum jelly; paraffin wax, micro- crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes, and similar products; petroleum coke, petroleum bitumen and other residues of petroleum oils or of oils obtained from bituminous materials","not for feed"
"336","Radioactive elements and isotopes and compounds; alloys, dispersions, ceramic products and mixtures containing these elements, isotopes or compounds; radioactive residues","not for feed"
"337","Fuel elements (cartridges), for or of nuclear reactors","not for feed"
"3310","Coke and semi-coke of coal, of lignite or of peat; retort carbon","not for feed"
"33100","Coke and semi-coke of coal, of lignite or of peat; retort carbon","not for feed"
"3320","Tar distilled from coal, from lignite or from peat, and other mineral tars","not for feed"
"33200","Tar distilled from coal, from lignite or from peat, and other mineral tars","not for feed"
"3331","Motor spirit (gasolene), including aviation spirit","not for feed"
"3332","Spirit type (gasolene type) jet fuel","not for feed"
"3333","Other light petroleum oils and light oils obtained from bituminous minerals (other than crude); light preparations n.e. containing not less than 70% by weight of petroleum oils or oils obtained from bituminous minerals (other than crude), these oils being the basic constituents of the preparations","not for feed"
"3334","Kerosene and kerosene type jet fuel","not for feed"
"3335","Other medium petroleum oils and medium oils obtained from bituminous minerals (not kerosene), other than crude; medium preparations n.e. containing not less than 70% by weight of petroleum oils or oils obtained from bituminous minerals (other than crude), these oils being the basic constituents of the preparations","not for feed"
